 1.31  | -0.05  | 0.0025
 1.16  | -0.20  | 0.0400
 1.40  |  0.04  | 0.0016
 1.40  |  0.04  | 0.0016
 1.43  |  0.07  | 0.0049
 1.31  | -0.05  | 0.0025
 1.35  | -0.01  | 0.0001
 1.33  | -0.03  | 0.0009
 1.38  |  0.02  | 0.0004
 1.30  | -0.06  | 0.0036
 1.46  |  0.10  | 0.0100
 1.43  |  0.07  | 0.0049
 1.28  | -0.08  | 0.0064
 1.21  | -0.15  | 0.0225
 1.21  | -0.15  | 0.0225
 1.31  | -0.05  | 0.0025
 1.41  |  0.05  | 0.0025
 1.20  | -0.16  | 0.0256
 1.23  | -0.13  | 0.0169
 1.41  |  0.05  | 0.0025
 1.46  |  0.10  | 0.0100
 1.36  |  0.00  | 0.0000
 1.36  |  0.00  | 0.0000
 1.36  |  0.00  | 0.0000
 1.31  | -0.05  | 0.0025
 1.31  | -0.05  | 0.0025
 1.31  | -0.05  | 0.0025
 1.28  | -0.08  | 0.0064
 1.33  | -0.03  | 0.0009
 1.41  |  0.05  | 0.0025
 1.31  | -0.05  | 0.0025
 1.33  | -0.03  | 0.0009
 1.26  | -0.10  | 0.0100
 1.30  | -0.06  | 0.0036
 1.40  |  0.04  | 0.0016
 1.39  |  0.03  | 0.0009
 1.36  |  0.00  | 0.0000
 1.33  | -0.03  | 0.0009
 1.36  |  0.00  | 0.0000
 1.31  | -0.05  | 0.0025
 1.36  |  0.00  | 0.0000
 1.31  | -0.05  | 0.0025
 1.36  |  0.00  | 0.0000
 1.38  |  0.02  | 0.0004
 1.33  | -0.03  | 0.0009
 1.26  | -0.10  | 0.0100
 1.36  |  0.00  | 0.0000
 1.38  |  0.02  | 0.0004
 1.33  | -0.03  | 0.0009
 1.28  | -0.08  | 0.0064
